ts,city,event_date,ticker,action,price_c,fill_vwap_c,filled_qty,qty,fee_c,p_model,ev_c,pnl_taker_c,pnl_maker_c,clv_c,phase_label,note
2026-07-24T14:44:22+00:00,chi,2026-07-24,KXHIGHCHI-26JUL24-B80.5,OPEN,52,53.13,100,100,2,60.5,6.5,,,,training,d0
2026-07-24T14:44:22+00:00,aus,2026-07-24,KXHIGHAUS-26JUL24-B95.5,OPEN,48,51.71,100,100,2,71.6,21.6,,,,training,d0
2026-07-24T14:44:22+00:00,lv,2026-07-24,KXHIGHTLV-26JUL24-B109.5,SELL,25,25.0,100,100,2,1.0,,-1800,-1400,,training,edge_gone
2026-07-24T14:44:22+00:00,dal,2026-07-24,KXHIGHTDAL-26JUL24-B95.5,OPEN,45,46.17,100,100,2,54.7,7.7,,,,training,d0
2026-07-24T14:44:22+00:00,okc,2026-07-24,KXHIGHTOKC-26JUL24-T95,OPEN,79,80.94,100,100,2,97.4,16.4,,,,training,d0
2026-07-24T14:44:22+00:00,nyc,2026-07-23,KXHIGHNY-26JUL23-T79,SETTLE,0,15,100,100,0,65.8,,-1600,-1500,-14.5,training,held
2026-07-24T14:44:22+00:00,mia,2026-07-23,KXHIGHMIA-26JUL23-B94.5,SETTLE,0,15,100,100,0,38.8,,-1600,-1500,-14.5,training,held
2026-07-24T14:44:22+00:00,bos,2026-07-23,KXHIGHTBOS-26JUL23-B82.5,SETTLE,0,13,100,100,0,24.0,,-1400,-1300,-12.5,training,held
2026-07-24T14:44:22+00:00,atl,2026-07-23,KXHIGHTATL-26JUL23-B92.5,SETTLE,0,12,100,100,0,23.0,,-1300,-1200,-11.5,training,held
2026-07-24T14:44:22+00:00,den,2026-07-23,KXHIGHDEN-26JUL23-B88.5,SETTLE,100,36,100,100,0,61.3,,,,62.5,training,hold_would_be 6200
2026-07-24T14:44:22+00:00,lax,2026-07-23,KXHIGHLAX-26JUL23-B83.5,SETTLE,0,23,100,100,0,68.6,,-2500,-2300,-22.5,training,held
2026-07-24T14:44:22+00:00,lv,2026-07-23,KXHIGHTLV-26JUL23-B112.5,SETTLE,100,36,100,100,0,73.1,,,,63.5,training,hold_would_be 6200
2026-07-24T14:44:22+00:00,sea,2026-07-23,KXHIGHTSEA-26JUL23-B76.5,SETTLE,100,37,100,100,0,66.8,,,,62.5,training,hold_would_be 6100
2026-07-24T18:54:23+00:00,chi,2026-07-24,KXHIGHCHI-26JUL24-B80.5,SELL,62,59.1,100,100,2,48.2,,200,600,,training,edge_gone
2026-07-24T18:54:23+00:00,aus,2026-07-24,KXHIGHAUS-26JUL24-B95.5,SELL,69,67.62,100,100,2,19.4,,1200,1600,,training,edge_gone
2026-07-24T18:54:23+00:00,dal,2026-07-24,KXHIGHTDAL-26JUL24-B95.5,SELL,63,59.68,100,100,2,24.0,,1000,1400,,training,edge_gone
2026-07-25T03:41:06+00:00,lax,2026-07-25,KXHIGHLAX-26JUL25-B81.5,OPEN,25,24.73,100,100,2,35.8,8.8,,,,training,d1
2026-07-25T03:41:06+00:00,lv,2026-07-25,KXHIGHTLV-26JUL25-B111.5,OPEN,10,12.03,100,100,1,25.5,14.5,,,,training,d1
2026-07-25T05:51:27+00:00,okc,2026-07-24,KXHIGHTOKC-26JUL24-T95,SELL,99,99.0,100,100,1,3.4,,1500,1800,,training,edge_gone
2026-07-25T07:00:30+00:00,lv,2026-07-25,KXHIGHTLV-26JUL25-B111.5,SELL,8,5.82,100,100,1,1.8,,-800,-600,,training,edge_gone
2026-07-25T14:26:23+00:00,den,2026-07-25,KXHIGHDEN-26JUL25-T101,OPEN,11,14.27,99,100,1,63.1,51.1,,,,training,d0
2026-07-25T14:26:23+00:00,chi,2026-07-25,KXHIGHCHI-26JUL25-B82.5,OPEN,10,13.46,100,100,1,35.6,24.6,,,,training,d0
2026-07-25T14:26:23+00:00,aus,2026-07-25,KXHIGHAUS-26JUL25-B97.5,OPEN,54,57.52,100,100,2,61.5,5.5,,,,training,d0
2026-07-25T14:26:23+00:00,lax,2026-07-25,KXHIGHLAX-26JUL25-B81.5,SELL,33,33.0,100,100,2,26.2,,400,800,,training,edge_gone
2026-07-25T14:26:23+00:00,dal,2026-07-25,KXHIGHTDAL-26JUL25-B101.5,OPEN,24,26.65,100,100,2,54.7,28.7,,,,training,d0
2026-07-25T14:26:23+00:00,sat,2026-07-25,KXHIGHTSATX-26JUL25-B95.5,OPEN,56,59.51,65,100,2,63.1,5.1,,,,training,d0
2026-07-25T14:26:23+00:00,nola,2026-07-25,KXHIGHTNOLA-26JUL25-B95.5,OPEN,38,40.78,100,100,2,52.0,12.0,,,,training,d0
2026-07-25T14:26:23+00:00,okc,2026-07-25,KXHIGHTOKC-26JUL25-B100.5,OPEN,28,32.01,100,100,2,64.1,34.1,,,,training,d0
2026-07-25T14:26:23+00:00,den,2026-07-24,KXHIGHDEN-26JUL24-T96,SETTLE,0,33,100,100,0,48.8,,-3500,-3300,-32.5,training,held
2026-07-25T14:26:23+00:00,lax,2026-07-24,KXHIGHLAX-26JUL24-B84.5,SETTLE,0,15,100,100,0,35.8,,-1600,-1500,-14.5,training,held
2026-07-25T14:26:23+00:00,lv,2026-07-24,KXHIGHTLV-26JUL24-B109.5,SETTLE,0,39,100,100,0,50.9,,,,-38.5,training,hold_would_be -4100
2026-07-25T14:26:23+00:00,chi,2026-07-24,KXHIGHCHI-26JUL24-B80.5,SETTLE,0,53,100,100,0,60.5,,,,-52.5,training,hold_would_be -5500
2026-07-25T14:26:23+00:00,aus,2026-07-24,KXHIGHAUS-26JUL24-B95.5,SETTLE,100,52,100,100,0,71.6,,,,47.5,training,hold_would_be 4600
2026-07-25T14:26:23+00:00,dal,2026-07-24,KXHIGHTDAL-26JUL24-B95.5,SETTLE,100,46,100,100,0,54.7,,,,53.5,training,hold_would_be 5200
2026-07-25T14:26:23+00:00,okc,2026-07-24,KXHIGHTOKC-26JUL24-T95,SETTLE,100,81,100,100,0,97.4,,,,18.5,training,hold_would_be 1700
2026-07-25T18:13:24+00:00,aus,2026-07-25,KXHIGHAUS-26JUL25-B97.5,SELL,42,36.83,100,100,2,19.4,,-2500,-2100,,training,edge_gone
2026-07-26T03:57:37+00:00,den,2026-07-26,KXHIGHDEN-26JUL26-T103,OPEN,10,10.91,100,100,1,65.6,54.6,,,,training,d1
2026-07-26T03:57:37+00:00,lv,2026-07-26,KXHIGHTLV-26JUL26-B109.5,OPEN,17,18.11,100,100,2,25.5,7.5,,,,training,d1
2026-07-26T03:57:37+00:00,sea,2026-07-26,KXHIGHTSEA-26JUL26-B74.5,OPEN,17,19.35,100,100,2,24.7,6.7,,,,training,d1
2026-07-26T07:16:21+00:00,lv,2026-07-26,KXHIGHTLV-26JUL26-B109.5,SELL,11,10.81,100,100,1,1.0,,-1000,-700,,training,edge_gone
2026-07-26T14:23:59+00:00,aus,2026-07-26,KXHIGHAUS-26JUL26-B98.5,OPEN,34,35.77,100,100,2,71.6,35.6,,,,training,d0
2026-07-26T14:23:59+00:00,okc,2026-07-26,KXHIGHTOKC-26JUL26-B102.5,OPEN,41,44.45,95,100,2,62.8,19.8,,,,training,d0
2026-07-26T14:23:59+00:00,lax,2026-07-25,KXHIGHLAX-26JUL25-B81.5,SETTLE,0,25,100,100,0,35.8,,,,-24.5,training,hold_would_be -2700
2026-07-26T14:23:59+00:00,lv,2026-07-25,KXHIGHTLV-26JUL25-B111.5,SETTLE,0,12,100,100,0,25.5,,,,-11.5,training,hold_would_be -1300
2026-07-26T14:23:59+00:00,den,2026-07-25,KXHIGHDEN-26JUL25-T101,SETTLE,0,14,99,99,0,63.1,,-1485,-1386,-13.5,training,held
2026-07-26T14:23:59+00:00,chi,2026-07-25,KXHIGHCHI-26JUL25-B82.5,SETTLE,0,13,100,100,0,35.6,,-1400,-1300,-12.5,training,held
2026-07-26T14:23:59+00:00,aus,2026-07-25,KXHIGHAUS-26JUL25-B97.5,SETTLE,100,58,100,100,0,61.5,,,,41.5,training,hold_would_be 4000
2026-07-26T14:23:59+00:00,dal,2026-07-25,KXHIGHTDAL-26JUL25-B101.5,SETTLE,0,27,100,100,0,54.7,,-2900,-2700,-26.5,training,held
2026-07-26T14:23:59+00:00,sat,2026-07-25,KXHIGHTSATX-26JUL25-B95.5,SETTLE,0,60,65,65,0,63.1,,-4030,-3900,-59.5,training,held
2026-07-26T14:23:59+00:00,nola,2026-07-25,KXHIGHTNOLA-26JUL25-B95.5,SETTLE,0,41,100,100,0,52.0,,-4300,-4100,-40.5,training,held
2026-07-26T14:23:59+00:00,okc,2026-07-25,KXHIGHTOKC-26JUL25-B100.5,SETTLE,0,32,100,100,0,64.1,,-3400,-3200,-31.5,training,held
